product	product_lc
Predicted galacto-N-biose-/lacto-N-biose I ABC transporter, permease component 2	predicted galacto-n-biose-/lacto-n-biose i abc transporter, permease component 2
possible cell surface protein with gram positive anchor domain	possible cell surface protein with gram positive anchor domain
Predicted transcriptional regulator of N- Acetylglucosamine utilization, GntR family	predicted transcriptional regulator of n- acetylglucosamine utilization, gntr family
Putative integral membrane protein	putative integral membrane protein
PTS system, IIB component, putative	pts system, iib component, putative
hypothetical protein with helix turn helix motif	hypothetical protein with helix turn helix motif
Ribonuclease P protein component (EC 3.1.26.5)	ribonuclease p protein component (ec 3.1.26.5)
FIG00426934: hypothetical protein	fig00426934: hypothetical protein
Non-specific DNA-binding protein Dps / Iron-binding ferritin-like antioxidant protein / Ferroxidase (EC 1.16.3.1)	non-specific dna-binding protein dps / iron-binding ferritin-like antioxidant protein / ferroxidase (ec 1.16.3.1)
FIG00514510: hypothetical protein	fig00514510: hypothetical protein
FIG01225173: hypothetical protein	fig01225173: hypothetical protein
Glycosyl transferase, group 1 family protein	glycosyl transferase, group 1 family protein
Probable transmembrane protein	probable transmembrane protein
FIG01031817: hypothetical protein	fig01031817: hypothetical protein
FIG01032666: hypothetical protein	fig01032666: hypothetical protein
FIG01032341: hypothetical protein	fig01032341: hypothetical protein
Sodium/proline symporter	sodium/proline symporter
Exoenzymes regulatory protein AepA in lipid-linked oligosaccharide synthesis cluster	exoenzymes regulatory protein aepa in lipid-linked oligosaccharide synthesis cluster
putative two-component system response regulator	putative two-component system response regulator
major facilitator superfamily MFS_1	major facilitator superfamily mfs_1
Polar amino acid ABC uptake transporter membrane-spanning protein	polar amino acid abc uptake transporter membrane-spanning protein
Amino-acid ABC transporter ATP-binding protein	amino-acid abc transporter atp-binding protein
Lysine-arginine-ornithine-binding periplasmic protein precursor (TC 3.A.1.3.1)	lysine-arginine-ornithine-binding periplasmic protein precursor (tc 3.a.1.3.1)
histidine kinase sensor of two-component system	histidine kinase sensor of two-component system
Putative aminotransferase	putative aminotransferase
FIG00424337: hypothetical protein	fig00424337: hypothetical protein
FIG00425039: hypothetical protein	fig00425039: hypothetical protein
FIG00424856: hypothetical protein	fig00424856: hypothetical protein
Xylulose-5-phosphate phosphoketolase (EC 4.1.2.9) / Fructose-6-phosphate phosphoketolase (EC 4.1.2.22)	xylulose-5-phosphate phosphoketolase (ec 4.1.2.9) / fructose-6-phosphate phosphoketolase (ec 4.1.2.22)
putative acyltransferase	putative acyltransferase
POSSIBLE RESOLVASE	possible resolvase
Phage protein	phage protein
putative short-chain dehydrogenase	putative short-chain dehydrogenase
FIG00425638: hypothetical protein	fig00425638: hypothetical protein
Duplicated ATPase component BL0693 of energizing module of predicted ECF transporter	duplicated atpase component bl0693 of energizing module of predicted ecf transporter
Transmembrane component BL0694 of energizing module of predicted ECF transporter	transmembrane component bl0694 of energizing module of predicted ecf transporter
Biosynthetic Aromatic amino acid aminotransferase alpha (EC 2.6.1.57) @ Aspartate aminotransferase (EC 2.6.1.1)	biosynthetic aromatic amino acid aminotransferase alpha (ec 2.6.1.57) @ aspartate aminotransferase (ec 2.6.1.1)
FIG00425886: hypothetical protein	fig00425886: hypothetical protein
Branched-chain amino acid transport system carrier protein	branched-chain amino acid transport system carrier protein
FIG049476: HIT family protein	fig049476: hit family protein
FIG000859: hypothetical protein YebC	fig000859: hypothetical protein yebc
Preprotein translocase subunit YajC (TC 3.A.5.1.1)	preprotein translocase subunit yajc (tc 3.a.5.1.1)
probable membrane channel protein	probable membrane channel protein
Predicted hydrolase of the HAD superfamily	predicted hydrolase of the had superfamily
FIG00424341: hypothetical protein	fig00424341: hypothetical protein
FIG00424250: hypothetical protein	fig00424250: hypothetical protein
FIG01121957: hypothetical protein	fig01121957: hypothetical protein
Indole-3-glycerol phosphate synthase (EC 4.1.1.48) / Tryptophan synthase beta chain (EC 4.2.1.20)	indole-3-glycerol phosphate synthase (ec 4.1.1.48) / tryptophan synthase beta chain (ec 4.2.1.20)
Endonuclease IV (EC 3.1.21.2)	endonuclease iv (ec 3.1.21.2)
isopenicillin N epimerase	isopenicillin n epimerase
Acetyltransferase (EC 2.3.1.-)	acetyltransferase (ec 2.3.1.-)
DUF1526 domain-containing protein	duf1526 domain-containing protein
ATPases with chaperone activity, ATP-binding subunit	atpases with chaperone activity, atp-binding subunit
FIG00426950: hypothetical protein	fig00426950: hypothetical protein
FIG00427152: hypothetical protein	fig00427152: hypothetical protein
DNA-binding response regulator, LuxR family	dna-binding response regulator, luxr family
FIG00424641: hypothetical protein	fig00424641: hypothetical protein
ABC-type transport systems, involved in lipoprotein release, ATPase components	abc-type transport systems, involved in lipoprotein release, atpase components
Macrolide export ATP-binding/permease protein MacB (EC 3.6.3.-)	macrolide export atp-binding/permease protein macb (ec 3.6.3.-)
FIG00425236: hypothetical protein	fig00425236: hypothetical protein
FIG00425731: hypothetical protein	fig00425731: hypothetical protein
RNA polymerase ECF-type sigma factor, putative	rna polymerase ecf-type sigma factor, putative
putative transporter	putative transporter
phage integrase family protein	phage integrase family protein
Phage tape measure	phage tape measure
"Predicted N-acetyl-glucosamine kinase 2, ROK family "	"predicted n-acetyl-glucosamine kinase 2, rok family "
N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	n-acetylglucosamine-6-phosphate deacetylase (ec 3.5.1.25)
Adenylate cyclase (EC 4.6.1.1)	adenylate cyclase (ec 4.6.1.1)
SAM-dependent methyltransferases	sam-dependent methyltransferases
N-acylglucosamine 2-epimerase (EC 5.1.3.8)	n-acylglucosamine 2-epimerase (ec 5.1.3.8)
regulatory protein, LacI	regulatory protein, laci
Endo-beta-N-acetylglucosaminidase	endo-beta-n-acetylglucosaminidase
FIG01131316: hypothetical protein	fig01131316: hypothetical protein
Predicted rhamnose oligosaccharide ABC transport system, permease component 2	predicted rhamnose oligosaccharide abc transport system, permease component 2
Alpha-mannosidase (EC 3.2.1.24)	alpha-mannosidase (ec 3.2.1.24)
FIG00424199: hypothetical protein	fig00424199: hypothetical protein
Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	peptidyl-prolyl cis-trans isomerase (ec 5.2.1.8)
Probable ATP-dependent helicase lhr (EC 3.6.1.-)	probable atp-dependent helicase lhr (ec 3.6.1.-)
FIG00424397: hypothetical protein	fig00424397: hypothetical protein
Octaprenyl-diphosphate synthase (EC 2.5.1.-) / Dimethylallyltransferase (EC 2.5.1.1) / Geranyltranstransferase (farnesyldiphosphate synthase) (EC 2.5.1.10) / Geranylgeranyl pyrophosphate synthetase (EC 2.5.1.29)	octaprenyl-diphosphate synthase (ec 2.5.1.-) / dimethylallyltransferase (ec 2.5.1.1) / geranyltranstransferase (farnesyldiphosphate synthase) (ec 2.5.1.10) / geranylgeranyl pyrophosphate synthetase (ec 2.5.1.29)
Protein Implicated in DNA repair function with RecA and MutS	protein implicated in dna repair function with reca and muts
Cell filamentation protein fic	cell filamentation protein fic
Aconitate hydratase (EC 4.2.1.3)	aconitate hydratase (ec 4.2.1.3)
FIG00423810: hypothetical protein	fig00423810: hypothetical protein
dipeptide transport ATP-binding protein	dipeptide transport atp-binding protein
putative ABC transporter ATP-binding protein	putative abc transporter atp-binding protein
putative ABC transporter integral membrane protein	putative abc transporter integral membrane protein
FIG00672343: hypothetical protein	fig00672343: hypothetical protein
Transcriptional regulator, PadR family	transcriptional regulator, padr family
Niacin transporter NiaP	niacin transporter niap
narrowly conserved hypothetical protein possibly in the MutT/Nudix family	narrowly conserved hypothetical protein possibly in the mutt/nudix family
D-glycerate transporter (predicted)	d-glycerate transporter (predicted)
Spermidine synthase-like protein	spermidine synthase-like protein
FIG00424005: hypothetical protein	fig00424005: hypothetical protein
FIG00424065: hypothetical protein	fig00424065: hypothetical protein
Putative ROK-family transcriptional regulator	putative rok-family transcriptional regulator
Predicted N-acetyl-glucosamine kinase 2, ROK family (EC 2.7.1.59)	predicted n-acetyl-glucosamine kinase 2, rok family (ec 2.7.1.59)
Cell division protein FtsQ	cell division protein ftsq
Ribosomal RNA small subunit methyltransferase C (EC 2.1.1.52)	ribosomal rna small subunit methyltransferase c (ec 2.1.1.52)
Arabinose efflux permease	arabinose efflux permease
Aldo/keto reductases, related to diketogulonate reductase	aldo/keto reductases, related to diketogulonate reductase
putative large secreted protein	putative large secreted protein
Alpha/beta hydrolase fold (EC 3.8.1.5)	alpha/beta hydrolase fold (ec 3.8.1.5)
glycosyl hydrolase, family 20	glycosyl hydrolase, family 20
ABC transporter membrane-spanning permease, Pep export, Vex3	abc transporter membrane-spanning permease, pep export, vex3
ABC transporter, ATP-binding protein Vex2	abc transporter, atp-binding protein vex2
COG family: cell wall-associated hydrolases (invasion-associated proteins); PFAM_ID: NLPC_P60	cog family: cell wall-associated hydrolases (invasion-associated proteins); pfam_id: nlpc_p60
Protein AraJ precursor	protein araj precursor
FIG00423922: hypothetical protein	fig00423922: hypothetical protein
N-acetylhexosamine 1-kinase	n-acetylhexosamine 1-kinase
Lacto-N-biose phosphorylase (EC 2.4.1.211)	lacto-n-biose phosphorylase (ec 2.4.1.211)
FIG00818580: hypothetical protein	fig00818580: hypothetical protein
FIG00425218: hypothetical protein	fig00425218: hypothetical protein
DNA-damage-inducible protein F	dna-damage-inducible protein f
FIG00424242: hypothetical protein	fig00424242: hypothetical protein
possible permease protein of ABC transporter system	possible permease protein of abc transporter system
Ferrous iron transport permease EfeU	ferrous iron transport permease efeu
Periplasmic protein p19 involved in high-affinity Fe2+ transport	periplasmic protein p19 involved in high-affinity fe2+ transport
Putative high-affinity iron permease	putative high-affinity iron permease
DNA-cytosine methyltransferase	dna-cytosine methyltransferase
acetyltransferase, GNAT family	acetyltransferase, gnat family
hydrolase, NUDIX family	hydrolase, nudix family
Neopullulanase (EC 3.2.1.135)	neopullulanase (ec 3.2.1.135)
FIG00672153: hypothetical protein	fig00672153: hypothetical protein
FIG00672317: hypothetical protein	fig00672317: hypothetical protein
glucokinase	glucokinase
COG0028: Thiamine pyrophosphate-requiring enzymes	cog0028: thiamine pyrophosphate-requiring enzymes
Predicted transcriptional regulator of N-Acetylglucosamine utilization, GntR family	predicted transcriptional regulator of n-acetylglucosamine utilization, gntr family
FIG00672106: hypothetical protein	fig00672106: hypothetical protein
Putative esterase family	putative esterase family
FIG00672525: hypothetical protein	fig00672525: hypothetical protein
FIG00671985: hypothetical protein	fig00671985: hypothetical protein
FUPA23 P-type ATPase	fupa23 p-type atpase
FIG00672242: hypothetical protein	fig00672242: hypothetical protein
Beta-glucanase precursor (EC 3.2.1.73)	beta-glucanase precursor (ec 3.2.1.73)
FIG00672344: hypothetical protein	fig00672344: hypothetical protein
FIG00672281: hypothetical protein	fig00672281: hypothetical protein
FIG00672087: hypothetical protein	fig00672087: hypothetical protein
FIG00672517: hypothetical protein	fig00672517: hypothetical protein
FIG00672019: hypothetical protein	fig00672019: hypothetical protein
FIG00672334: hypothetical protein	fig00672334: hypothetical protein
FIG00672510: hypothetical protein	fig00672510: hypothetical protein
FIG00672484: hypothetical protein	fig00672484: hypothetical protein
FIG00672165: hypothetical protein	fig00672165: hypothetical protein
FIG00672385: hypothetical protein	fig00672385: hypothetical protein
FIG00672430: hypothetical protein	fig00672430: hypothetical protein
Mrp protein homolog	mrp protein homolog
Hydrogen peroxide-inducible genes activator	hydrogen peroxide-inducible genes activator
Alcohol dehydrogenase (EC 1.1.1.1)	alcohol dehydrogenase (ec 1.1.1.1)
FIG00672446: hypothetical protein	fig00672446: hypothetical protein
"Serine/threonine-protein kinase PknA "	"serine/threonine-protein kinase pkna "
FIG00672187: hypothetical protein	fig00672187: hypothetical protein
transcriptional regulator, XRE family	transcriptional regulator, xre family
"Type I restriction-modification system, specificity subunit S "	"type i restriction-modification system, specificity subunit s "
competence protein	competence protein
FIG00672120: hypothetical protein	fig00672120: hypothetical protein
Lysine-specific permease	lysine-specific permease
FIG00672255: hypothetical protein	fig00672255: hypothetical protein
FIG00672479: hypothetical protein	fig00672479: hypothetical protein
Alkanesulfonates transport system permease protein	alkanesulfonates transport system permease protein
Alkanesulfonates-binding protein	alkanesulfonates-binding protein
COG3189: Uncharacterized conserved protein	cog3189: uncharacterized conserved protein
periplasmic binding protein/LacI transcriptional regulator	periplasmic binding protein/laci transcriptional regulator
FIG00425541: hypothetical protein	fig00425541: hypothetical protein
FIG00356309: hypothetical protein	fig00356309: hypothetical protein
Putative ABC transport system ATP-binding protein	putative abc transport system atp-binding protein
Manganese ABC transporter substrate-binding lipoprotein precursor	manganese abc transporter substrate-binding lipoprotein precursor
NAD(P)HX dehydratase	nad(p)hx dehydratase
Abortive infection protein AbiGII	abortive infection protein abigii
Abortive infection protein AbiGI	abortive infection protein abigi
LemA PROTEIN	lema protein
FIG00672445: hypothetical protein	fig00672445: hypothetical protein
ATPase component STY3232 of energizing module of queuosine-regulated ECF transporter	atpase component sty3232 of energizing module of queuosine-regulated ecf transporter
Uridine phosphorylase (EC 2.4.2.3)	uridine phosphorylase (ec 2.4.2.3)
Cysteine synthase (EC 2.5.1.47)	cysteine synthase (ec 2.5.1.47)
Sodium/dicarboxylate symporter	sodium/dicarboxylate symporter
FIG00671967: hypothetical protein	fig00671967: hypothetical protein
ABC-2 type transporter	abc-2 type transporter
FIG00672227: hypothetical protein	fig00672227: hypothetical protein
Daunorubicin resistance ATP-binding protein drrA	daunorubicin resistance atp-binding protein drra
ATPase component of general energizing module of ECF transporters / ATPase component of general energizing module of ECF transporters	atpase component of general energizing module of ecf transporters / atpase component of general energizing module of ecf transporters
Xylose isomerase (EC 5.3.1.5)	xylose isomerase (ec 5.3.1.5)
L-arabinose-binding periplasmic protein precursor AraF (TC 3.A.1.2.2)	l-arabinose-binding periplasmic protein precursor araf (tc 3.a.1.2.2)
L-arabinose transport ATP-binding protein AraG (TC 3.A.1.2.2)	l-arabinose transport atp-binding protein arag (tc 3.a.1.2.2)
probable ABC transport system permease protein for sugars	probable abc transport system permease protein for sugars
Xylose-responsive transcription regulator, ROK family	xylose-responsive transcription regulator, rok family
Tetracycline resistance protein TetM	tetracycline resistance protein tetm
FIG01197404: hypothetical protein	fig01197404: hypothetical protein
FIG00672312: hypothetical protein	fig00672312: hypothetical protein
FIG00672429: hypothetical protein	fig00672429: hypothetical protein
L-fucose mutarotase	l-fucose mutarotase
Alpha-L-fucosidase (EC 3.2.1.51)	alpha-l-fucosidase (ec 3.2.1.51)
ABC transporter, solute-binding protein	abc transporter, solute-binding protein
Transposase for IS3509a	transposase for is3509a
LPXTG-motif cell wall anchor domain protein	lpxtg-motif cell wall anchor domain protein
FIG00672369: hypothetical protein	fig00672369: hypothetical protein
FIG00672152: hypothetical protein	fig00672152: hypothetical protein
FIG00671986: hypothetical protein	fig00671986: hypothetical protein
Histidine permease YuiF	histidine permease yuif
2-keto-3-deoxygluconate permease (KDG permease)	2-keto-3-deoxygluconate permease (kdg permease)
FIG00672154: hypothetical protein	fig00672154: hypothetical protein
NADH oxidase H2O-forming (EC 1.6.-.-)	nadh oxidase h2o-forming (ec 1.6.-.-)
FIG00671937: hypothetical protein	fig00671937: hypothetical protein
WhiB-type transcription regulator	whib-type transcription regulator
FIG00672056: hypothetical protein	fig00672056: hypothetical protein
3'-5' exonuclease with to CRISPR-associated protein from COG1343	3'-5' exonuclease with to crispr-associated protein from cog1343
CRISPR-associated protein, CT1974	crispr-associated protein, ct1974
CRISPR-associated protein, CT1976	crispr-associated protein, ct1976
CRISPR-associated protein, CT1975 family	crispr-associated protein, ct1975 family
CRISPR-associated protein	crispr-associated protein
corresponds to STY3070 from Accession AL513382: Salmonella typhi CT18	corresponds to sty3070 from accession al513382: salmonella typhi ct18
CRISPR-associated helicase Cas3, protein	crispr-associated helicase cas3, protein
FIG045374: Type II restriction enzyme, methylase subunit YeeA	fig045374: type ii restriction enzyme, methylase subunit yeea
Site-specific recombinase	site-specific recombinase
DNA primase/helicase, phage-associated	dna primase/helicase, phage-associated
Type III restriction-modification system methylation subunit (EC 2.1.1.72)	type iii restriction-modification system methylation subunit (ec 2.1.1.72)
Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)	type i restriction-modification system, restriction subunit r (ec 3.1.21.3)
FIG00672451: hypothetical protein	fig00672451: hypothetical protein
FIG00672035: hypothetical protein	fig00672035: hypothetical protein
FIG00672464: hypothetical protein	fig00672464: hypothetical protein
COG1524: Uncharacterized proteins of the AP superfamily	cog1524: uncharacterized proteins of the ap superfamily
Ribonuclease HI (EC 3.1.26.4) / DNA polymerase III epsilon subunit (EC 2.7.7.7)	ribonuclease hi (ec 3.1.26.4) / dna polymerase iii epsilon subunit (ec 2.7.7.7)
Adenosylhomocysteinase (EC 3.3.1.1)	adenosylhomocysteinase (ec 3.3.1.1)
possible chlorohydrolase-like protein	possible chlorohydrolase-like protein
FIG00424992: hypothetical protein	fig00424992: hypothetical protein
probable amino-acid binding protein for ABC transporter system	probable amino-acid binding protein for abc transporter system
COG0765: ABC-type amino acid transport system, permease component	cog0765: abc-type amino acid transport system, permease component
Biotin-protein ligase (EC 6.3.4.15) / Biotin operon repressor	biotin-protein ligase (ec 6.3.4.15) / biotin operon repressor
Transcriptional regulator/sugar kinase	transcriptional regulator/sugar kinase
L-arabinose transport system permease protein (TC 3.A.1.2.2)	l-arabinose transport system permease protein (tc 3.a.1.2.2)
Ribulokinase (EC 2.7.1.16)	ribulokinase (ec 2.7.1.16)
L-arabinose isomerase (EC 5.3.1.4)	l-arabinose isomerase (ec 5.3.1.4)
FIG00672052: hypothetical protein	fig00672052: hypothetical protein
FIG00525105: hypothetical protein	fig00525105: hypothetical protein
mrr restriction endonuclease	mrr restriction endonuclease
Plasmid stabilization system antitoxin protein	plasmid stabilization system antitoxin protein
HTH DNA-binding protein	hth dna-binding protein
FIG00672141: hypothetical protein	fig00672141: hypothetical protein
FIG00672113: hypothetical protein	fig00672113: hypothetical protein
FIG00672243: hypothetical protein	fig00672243: hypothetical protein
Putative inner membrane protein	putative inner membrane protein
Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3)	thiamin-phosphate pyrophosphorylase (ec 2.5.1.3)
Fucolectin-related protein	fucolectin-related protein
Huntingtin interacting protein E-like protein	huntingtin interacting protein e-like protein
Probable protease htpX homolog	probable protease htpx homolog
probable cation-transporting ATPase V	probable cation-transporting atpase v
Modification methylase EcoRI (EC 2.1.1.72)	modification methylase ecori (ec 2.1.1.72)
FIG00671951: hypothetical protein	fig00671951: hypothetical protein
permease	permease
FIG00672307: hypothetical protein	fig00672307: hypothetical protein
FIG00672124: hypothetical protein	fig00672124: hypothetical protein
FIG00672320: hypothetical protein	fig00672320: hypothetical protein
FIG00672200: hypothetical protein	fig00672200: hypothetical protein
Sugar ABC transporter, periplasmic sugar-binding protein	sugar abc transporter, periplasmic sugar-binding protein
sugar binding-protein dependent transporter system permease	sugar binding-protein dependent transporter system permease
transcriptional regulator, LacI family	transcriptional regulator, laci family
FIG00672522: hypothetical protein	fig00672522: hypothetical protein
dTDP-rhamnosyl transferase RfbF (EC 2.-.-.-)	dtdp-rhamnosyl transferase rfbf (ec 2.-.-.-)
putative LPS biosynthesis related glycosyltransferase	putative lps biosynthesis related glycosyltransferase
O-antigen export system permease protein	o-antigen export system permease protein
putative polysaccharide ABC transporter, ATP-binding protein	putative polysaccharide abc transporter, atp-binding protein
FIG00672535: hypothetical protein	fig00672535: hypothetical protein
FIG00672423: hypothetical protein	fig00672423: hypothetical protein
FIG00672057: hypothetical protein	fig00672057: hypothetical protein
binding-protein-dependent transport system permease	binding-protein-dependent transport system permease
Multiple sugar ABC transporter, substrate- binding protein	multiple sugar abc transporter, substrate- binding protein
glycosyl transferase, group 1 family protein	glycosyl transferase, group 1 family protein
FIG00672439: hypothetical protein	fig00672439: hypothetical protein
ABC transporter substrate-binding protein	abc transporter substrate-binding protein
Putative homoserine kinase type II, PnuC-associated, THI-regulated branch	putative homoserine kinase type ii, pnuc-associated, thi-regulated branch
FIG00672389: hypothetical protein	fig00672389: hypothetical protein
COG4932: Predicted outer membrane protein	cog4932: predicted outer membrane protein
FIG00672025: hypothetical protein	fig00672025: hypothetical protein
FIG00672103: hypothetical protein	fig00672103: hypothetical protein
FIG00672008: hypothetical protein	fig00672008: hypothetical protein
FIG00672300: hypothetical protein	fig00672300: hypothetical protein
FIG00672350: hypothetical protein	fig00672350: hypothetical protein
FIG00672518: hypothetical protein	fig00672518: hypothetical protein
Response regulator LiaR	response regulator liar
abortive infection protein AbiGI	abortive infection protein abigi
FIG00672278: hypothetical protein	fig00672278: hypothetical protein
FIG00672189: hypothetical protein	fig00672189: hypothetical protein
FIG00672107: hypothetical protein	fig00672107: hypothetical protein
FIG01114224: hypothetical protein	fig01114224: hypothetical protein
PTS system, cellobiose-specific IIC component (EC 2.7.1.69)	pts system, cellobiose-specific iic component (ec 2.7.1.69)
sugar transporter sugar binding protein	sugar transporter sugar binding protein
sugar permease of ABC transporter system	sugar permease of abc transporter system
Crp-family transcriptional regulator	crp-family transcriptional regulator
Deoxyribonucleoside regulator DeoR (transcriptional repressor)	deoxyribonucleoside regulator deor (transcriptional repressor)
Deoxyribose-phosphate aldolase (EC 4.1.2.4)	deoxyribose-phosphate aldolase (ec 4.1.2.4)
Homolog of fucose/glucose/galactose permeases	homolog of fucose/glucose/galactose permeases
Putative uncharacterized protein STY3991	putative uncharacterized protein sty3991
Gluconate transporter family protein	gluconate transporter family protein
FIG00672145: hypothetical protein	fig00672145: hypothetical protein
ABC-type cobalt transport system, ATPase component	abc-type cobalt transport system, atpase component
FIG00672212: hypothetical protein	fig00672212: hypothetical protein
putative alpha-amylase	putative alpha-amylase
phage-associated protein	phage-associated protein
possible rRNA methylase	possible rrna methylase
FIG00672093: hypothetical protein	fig00672093: hypothetical protein
FIG00672378: hypothetical protein	fig00672378: hypothetical protein
FIG00672137: hypothetical protein	fig00672137: hypothetical protein
FIG00672291: hypothetical protein	fig00672291: hypothetical protein
FIG00671934: hypothetical protein	fig00671934: hypothetical protein
YcfF/hinT protein: a purine nucleoside phosphoramidase	ycff/hint protein: a purine nucleoside phosphoramidase
FIG00672472: hypothetical protein	fig00672472: hypothetical protein
FIG00672032: hypothetical protein	fig00672032: hypothetical protein
FIG00672175: hypothetical protein	fig00672175: hypothetical protein
protein kinase	protein kinase
Hypothetical SAV0801 homolog in superantigen- encoding pathogenicity islands SaPI	hypothetical sav0801 homolog in superantigen- encoding pathogenicity islands sapi
FIG00672449: hypothetical protein	fig00672449: hypothetical protein
FIG00672260: hypothetical protein	fig00672260: hypothetical protein
LSU ribosomal protein L31p	lsu ribosomal protein l31p
FIG00672505: hypothetical protein	fig00672505: hypothetical protein
prevent-host-death family protein	prevent-host-death family protein
ABC transporter, integral membrane subunit	abc transporter, integral membrane subunit
FIG00672020: hypothetical protein	fig00672020: hypothetical protein
Zeta toxin	zeta toxin
transcription regulator, probable	transcription regulator, probable
FIG00672065: hypothetical protein	fig00672065: hypothetical protein
putative histidine kinase, ScnK homolog	putative histidine kinase, scnk homolog
Two-component response regulator	two-component response regulator
RumE protein	rume protein
ABC transporter protein, putative	abc transporter protein, putative
FIG00671968: hypothetical protein	fig00671968: hypothetical protein
putative transport protein	putative transport protein
Pseudouridine kinase, ribokinase/adenosine kinase/pfkB family	pseudouridine kinase, ribokinase/adenosine kinase/pfkb family
MutT/nudix family protein	mutt/nudix family protein
FIG00672237: hypothetical protein	fig00672237: hypothetical protein
FIG00672414: hypothetical protein	fig00672414: hypothetical protein
FIG00672294: hypothetical protein	fig00672294: hypothetical protein
23S rRNA (guanosine-2'-O-) -methyltransferase rlmB // LSU rRNA Gm2251	23s rrna (guanosine-2'-o-) -methyltransferase rlmb // lsu rrna gm2251
FIG00672109: hypothetical protein	fig00672109: hypothetical protein
Guanine-hypoxanthine permease	guanine-hypoxanthine permease
Putative transport system secreted protein	putative transport system secreted protein
Uncharacterized protein CPE0188	uncharacterized protein cpe0188
Glycine oxidase ThiO (EC 1.4.3.19)	glycine oxidase thio (ec 1.4.3.19)
FIG00671980: hypothetical protein	fig00671980: hypothetical protein
FIG00672064: hypothetical protein	fig00672064: hypothetical protein
FIG00669172: hypothetical protein	fig00669172: hypothetical protein
FIG00672070: hypothetical protein	fig00672070: hypothetical protein
Hydroxymethylglutaryl-CoA reductase (EC 1.1.1.34)	hydroxymethylglutaryl-coa reductase (ec 1.1.1.34)
Peptidoglycan interpeptide bridge formation enzyme	peptidoglycan interpeptide bridge formation enzyme
FIG00672229: hypothetical protein	fig00672229: hypothetical protein
Diphosphomevalonate decarboxylase (EC 4.1.1.33)	diphosphomevalonate decarboxylase (ec 4.1.1.33)
Mevalonate kinase (EC 2.7.1.36)	mevalonate kinase (ec 2.7.1.36)
putative ABC transport system membrane protein	putative abc transport system membrane protein
Predicted P-loop ATPase	predicted p-loop atpase
Putative ABC transport system exported protein	putative abc transport system exported protein
Aspartate carbamoyltransferase (EC 2.1.3.2) / Aspartate carbamoyltransferase regulatory chain (PyrI)	aspartate carbamoyltransferase (ec 2.1.3.2) / aspartate carbamoyltransferase regulatory chain (pyri)
DNA-cytosine methyltransferase (EC 2.1.1.37)	dna-cytosine methyltransferase (ec 2.1.1.37)
FIG00648574: hypothetical protein	fig00648574: hypothetical protein
FIG00672337: hypothetical protein	fig00672337: hypothetical protein
Choline binding protein A	choline binding protein a
FIG00672245: hypothetical protein	fig00672245: hypothetical protein
FIG00672086: hypothetical protein	fig00672086: hypothetical protein
FIG00672127: hypothetical protein	fig00672127: hypothetical protein
FIG00672501: hypothetical protein	fig00672501: hypothetical protein
N-acetyl-L,L-diaminopimelate deacetylase (EC 3.5.1.47)	n-acetyl-l,l-diaminopimelate deacetylase (ec 3.5.1.47)
putative transcription regulator	putative transcription regulator
FIG00672186: hypothetical protein	fig00672186: hypothetical protein
Phage-related protein	phage-related protein
FIG00672556: hypothetical protein	fig00672556: hypothetical protein
FIG00672440: hypothetical protein	fig00672440: hypothetical protein
Thiol-activated cytolysin	thiol-activated cytolysin
FIG00672418: hypothetical protein	fig00672418: hypothetical protein
FIG00672044: hypothetical protein	fig00672044: hypothetical protein
FIG00672151: hypothetical protein	fig00672151: hypothetical protein
sugar ABC transporter sugar-binding protein	sugar abc transporter sugar-binding protein
narrowly conserved hypothetical protein with possible DNA interaction motif	narrowly conserved hypothetical protein with possible dna interaction motif
FIG00752635: hypothetical protein	fig00752635: hypothetical protein
ABC transport protein BldKB	abc transport protein bldkb
prophage ps3 protein 01, putative	prophage ps3 protein 01, putative
FIG00426572: hypothetical protein	fig00426572: hypothetical protein
HigA protein (antitoxin to HigB)	higa protein (antitoxin to higb)
FIG00671976: hypothetical protein	fig00671976: hypothetical protein
Hydroxymethylglutaryl-CoA synthase (EC 2.3.3.10)	hydroxymethylglutaryl-coa synthase (ec 2.3.3.10)
Manganese ABC transporter, inner membrane permease protein SitD	manganese abc transporter, inner membrane permease protein sitd
FIG00814575: hypothetical protein	fig00814575: hypothetical protein
Substrate-specific component TrpP of tryptophan ECF transporter	substrate-specific component trpp of tryptophan ecf transporter
Exonuclease SbcC	exonuclease sbcc
FIG00672539: hypothetical protein	fig00672539: hypothetical protein
Isopentenyl-diphosphate delta-isomerase, FMN-dependent (EC 5.3.3.2)	isopentenyl-diphosphate delta-isomerase, fmn-dependent (ec 5.3.3.2)
FIG00425957: hypothetical protein	fig00425957: hypothetical protein
Cadmium resistance protein	cadmium resistance protein
Prevent host death protein, Phd antitoxin	prevent host death protein, phd antitoxin
FIG00672075: hypothetical protein	fig00672075: hypothetical protein
COG2186: Transcriptional regulators	cog2186: transcriptional regulators
FIG00672534: hypothetical protein	fig00672534: hypothetical protein
